# Date, K/D, Kills per Round, Rank
2019-01-10, 0.818, 1, None
2019-01-12, 0.818, 1, None
2019-01-13, 0.818, 1, None
2019-01-14, 0.818, 1, None
2019-01-16, 0.818, 1, None
2019-01-17, 0.818, 1, None
2019-01-18, 0.819, 1, None
2019-01-19, 0.819, 1, None
2019-01-21, 0.819, 1, None
2019-01-22, 0.819, 1, None
2019-01-23, 0.819, 1, None
2019-01-24, 0.819, 1, None
2019-01-25, 0.819, 1, None
2019-01-26, 0.819, 1, None
2019-01-27, 0.819, 1, None
2019-01-28, 0.819, 1, None
2019-01-29, 0.822, 1, None
2019-01-30, 0.822, 1, None
2019-01-31, 0.822, 1, None
2019-02-01, 0.822, 1, None
2019-02-02, 0.822, 1, None
2019-02-03, 0.822, 1, None
2019-02-04, 0.822, 1, None
2019-02-05, 0.822, 1, None
2019-02-06, 0.822, 1, None
2019-02-07, 0.822, 1, None
2019-02-08, 0.822, 1, None
2019-02-10, 0.822, 1, None
2019-02-11, 0.822, 1, None
2019-02-12, 0.822, 1, None
2019-02-13, 0.822, 1, None
2019-02-14, 0.822, 1, None
2019-02-15, 0.817, 1, None
2019-02-16, 0.817, 1, None
2019-02-17, 0.817, 1, None
2019-02-18, 0.817, 1, None
2019-02-19, 0.817, 1, None
2019-02-20, 0.817, 1, None
2019-02-24, 0.817, 1, None
2019-02-25, 0.817, 1, None
2019-02-26, 0.817, 1, None
2019-02-27, 0.817, 1, None
2019-02-28, 0.817, 1, None
2019-03-01, 0.817, 1, None
2019-03-02, 0.817, 1, None
2019-03-03, 0.817, 1, None
2019-03-04, 0.817, 1, None
2019-03-05, 0.817, 1, None
2019-03-06, 0.817, 1, None
2019-03-07, 0.817, 1, None
2019-03-08, 0.817, 1, None
2019-03-12, 0.817, 1, None
2019-03-13, 0.817, 1, None
2019-03-14, 0.817, 1, None
2019-03-18, 0.817, 1, None
2019-03-19, 0.817, 1, None
2019-03-20, 0.817, 1, None
2019-03-21, 0.817, 1, None
2019-03-22, 0.817, 1, None
2019-03-26, 0.817, 1, None
2019-03-27, 0.817, 1, None
2019-03-28, 0.817, 1, None
2019-03-29, 0.817, 1, None
2019-03-30, 0.817, 1, None
2019-04-04, 0.817, 1, None
2019-04-05, 0.817, 1, None
2019-04-06, 0.817, 1, None
2019-04-07, 0.817, 1, None
2019-04-08, 0.817, 1, None
2019-04-09, 0.817, 1, None
2019-04-10, 0.817, 1, None
2019-04-11, 0.817, 1, None
2019-04-12, 0.817, 1, None
2019-04-13, 0.817, 1, None
2019-04-14, 0.817, 1, None
2019-04-15, 0.817, 1, None
2019-04-16, 0.817, 1, None
2019-04-17, 0.817, 1, None
2019-04-18, 0.817, 1, None
2019-04-19, 0.817, 1, None
2019-04-20, 0.817, 1, None
2019-04-21, 0.817, 1, None
2019-04-22, 0.817, 1, None
2019-04-23, 0.817, 1, None
2019-04-24, 0.817, 1, None
2019-04-25, 0.817, 1, None
2019-04-26, 0.817, 1, None
2019-04-27, 0.817, 1, None
2019-04-29, 0.817, 1, Silver II
2019-04-30, 0.817, 1, Silver II
2019-05-01, 0.817, 1, Silver II
2019-05-02, 0.817, 1, Silver II
2019-05-03, 0.817, 1, Silver II
2019-05-04, 0.817, 1, Silver II
2019-05-05, 0.817, 1, Silver II
2019-05-06, 0.817, 1, Silver II
2019-05-07, 0.817, 1, Silver II
2019-05-08, 0.817, 1, Silver II
2019-05-09, 0.817, 1, Silver II
2019-05-11, 0.817, 1, Silver II
2019-05-13, 0.817, 1, Silver II
2019-05-14, 0.817, 1, Silver II
2019-05-15, 0.817, 1, Silver II
2019-05-16, 0.817, 1, Silver II
2019-05-17, 0.817, 1, Silver II
2019-05-18, 0.817, 1, Silver II
2019-05-19, 0.817, 1, Silver II
2019-05-20, 0.817, 1, Silver II
2019-05-21, 0.817, 1, Silver II
2019-05-22, 0.817, 1, Silver II
2019-05-23, 0.817, 1, Silver II
2019-05-24, 0.817, 1, Silver II
2019-05-25, 0.817, 1, Silver II
2019-05-26, 0.817, 1, Silver II
2019-05-27, 0.817, 1, Silver II
2019-05-28, 0.817, 1, Silver II
2019-05-30, 0.817, 1, Silver II
2019-05-31, 0.817, 1, Silver II
2019-06-01, 0.817, 1, Silver II
2019-06-02, 0.814, 1, Silver II
2019-06-03, 0.807, 1, Silver II
2019-06-04, 0.807, 1, Silver II
2019-06-05, 0.807, 1, Silver II
2019-06-07, 0.803, 1, Silver II
2019-06-08, 0.802, 1, Silver II
2019-06-09, 0.802, 1, Silver II
2019-06-11, 0.802, 1, Silver II
2019-06-12, 0.802, 1, Silver II
2019-06-13, 0.802, 1, Silver II
2019-06-14, 0.802, 1, Silver II
2019-06-15, 0.802, 1, Silver II
2019-06-16, 0.802, 1, Silver II
2019-06-17, 0.802, 1, Silver II
2019-06-18, 0.802, 1, Silver II
2019-06-19, 0.802, 1, Silver II
2019-06-20, 0.802, 1, Silver II
2019-06-21, 0.802, 1, Silver II
2019-06-22, 0.802, 1, Silver II
